pattern_id,pattern_name_vi,pattern_description,tcm_disease_name,etiology_tcm,affected_meridians_organs,eight_principles,modern_diagnostic_findings,clinical_manifestations,data_source
SP064,Thể phong hàn,,Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn),"Ngoại nhân (phong, hàn)",Kinh và tạng Phế,"Biểu lý tương kiêm, hư trung hiệp thực, hàn","Chẩn đoán COPD dựa vào tiền sử tiếp xúc với các yếu tố nguy cơ như hút thuốc lá thuốc lào ô nhiễm môi trường, triệu chứng ho khạc đờm kéo dài và khó thở tiến triển nặng dần, thăm khám lâm sàng có rì rào phế nang giảm ran rít ran ngáy ran ẩm ran nổ lồng ngực hình thùng, đo chức năng thông khí phổi là tiêu chuẩn vàng với rối loạn thông khí tắc nghẽn không hồi phục hoàn toàn sau test hồi phục phế quản, chỉ số FEV1/FVC nhỏ hơn 70% sau test hồi phục phế quản.","Người bệnh ho, đờm trong loãng, sắc trắng, dễ khạc, kèm theo tắc mũi, chảy nước mũi trong. Toàn thân: sốt, sợ lạnh, đau đầu, cảm giác mỏi người, không ra mồ hôi, khản tiếng, rêu lưỡi trắng mỏng, mạch phù.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 128
SP057,Thể huyết ứ,,Viêm dạ dày và tá tràng (Vị quản thống),Bất nội ngoại nhân (nội thương),"Bệnh ở can, vị (can khí phạm vị)",Lý thực (Thực chứng) hoặc Lý hư trung hiệp thực (Hư chứng),"Chẩn đoán viêm dạ dày và tá tràng dựa vào triệu chứng lâm sàng như đau vùng thượng vị, kèm ợ hơi, ợ chua, nóng rát, buồn nôn, nôn, có thể táo bón hoặc đầy bụng khó tiêu. Nội soi dạ dày phát hiện tổn thương viêm niêm mạc, phù nề, xung huyết, có thể kèm loét, xuất huyết hoặc ung thư hóa. Các xét nghiệm hỗ trợ chẩn đoán bao gồm sinh thiết niêm mạc dạ dày làm CLO test, nuôi cấy vi khuẩn Helicobacter pylori và làm kháng sinh đồ, test hơi thở urea, xét nghiệm huyết thanh tìm kháng thể và xét nghiệm phân tìm kháng nguyên HP","Đau dữ dội ở một vị trí nhất định vùng thượng vị, cự án. Trên lâm sàng chia thành 2 trường hợp: thực chứng và hư chứng.
- Thực chứng: Nôn ra máu, đi ngoài phân đen, môi đỏ lưỡi đỏ, rêu lưỡi vàng. Mạchhuyền sác hữu lực (bệnh thể cấp)
- Hư chứng: Nếu chảy máu nhiều kèm theo sắc mặt nhợt nhạt, người mệt mỏi, môi nhợt, chân tay lạnh, ra mồ hôi, chất lưỡi bệu có ứ huyết, rêu lưỡi nhuận. Mạch hư đại hoặc tế sáp (bệnh thể hoãn).",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 114
SP058,Thể tỳ vị hư hàn,,Viêm dạ dày và tá tràng (Vị quản thống),Bất nội ngoại nhân (nội thương),"Bệnh ở tỳ, vị (tỳ vị hư hàn)",Lý hư hàn,"Chẩn đoán viêm dạ dày và tá tràng dựa vào triệu chứng lâm sàng như đau vùng thượng vị, kèm ợ hơi, ợ chua, nóng rát, buồn nôn, nôn, có thể táo bón hoặc đầy bụng khó tiêu. Nội soi dạ dày phát hiện tổn thương viêm niêm mạc, phù nề, xung huyết, có thể kèm loét, xuất huyết hoặc ung thư hóa. Các xét nghiệm hỗ trợ chẩn đoán bao gồm sinh thiết niêm mạc dạ dày làm CLO test, nuôi cấy vi khuẩn Helicobacter pylori và làm kháng sinh đồ, test hơi thở urea, xét nghiệm huyết thanh tìm kháng thể và xét nghiệm phân tìm kháng nguyên HP","Đau thượng vị âm ỉ, đau liên miên, nôn nhiều nôn ra nước trong, gặp lạnh đau tăng, khi đau thích xoa bóp, chườm nóng. Kèm theo sợ lạnh, tay chân lạnh, ăn kém, thích ăn đồ ấm nóng. Bụng đầy thường xuyên, đại tiện lỏng nát. Chất lưỡi nhợt bệu, rêu lưỡi trắng. Mạch trầm nhược",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 116
SP059,Thể khí ngưng,,Viêm gan virus mạn (Hiếp thống),Bất nội ngoại nhân (nội thương),Can,"Lý, thực, nhiệt","Chẩn đoán viêm gan virus mạn dựa vào HBsAg dương tính trên 6 tháng hoặc HBsAg dương tính kèm Anti HBc IgG dương tính, men gan AST và ALT tăng từng đợt hoặc liên tục kéo dài trên 6 tháng, có bằng chứng tổn thương mô gan tiến triển hoặc xơ gan được xác định bằng sinh thiết gan hoặc đo độ đàn hồi gan hoặc Fibrotest hoặc chỉ số APRI, loại trừ các căn nguyên khác","Đau tức nặng ở vùng hạ sườn phải, mỗi khí tinh thần bị kích động, tức giận thì cảm giác này lại tăng lên. Ăn uống kém, miệng đắng, người mệt mỏi, khi gắng sức thì nước tiểu vàng, chất lưỡi bình thường, rêu lưỡi trắng mỏng, mạch huyền.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 120
SP060,Thể huyết ứ,,Viêm gan virus mạn (Hiếp thống),Bất nội ngoại nhân (huyết ứ),Can,"Lý, thực","Chẩn đoán viêm gan virus mạn dựa vào HBsAg dương tính trên 6 tháng hoặc HBsAg dương tính kèm Anti HBc IgG dương tính, men gan AST và ALT tăng từng đợt hoặc liên tục kéo dài trên 6 tháng, có bằng chứng tổn thương mô gan tiến triển hoặc xơ gan được xác định bằng sinh thiết gan hoặc đo độ đàn hồi gan hoặc Fibrotest hoặc chỉ số APRI, loại trừ các căn nguyên khác","Vùng hạ sườn phải có cảm giác đau như kim châm, chỗ đau thường cố định, không di chuyển, về đêm thường đau tăng lên, đôi khi có thể sờ thấy một khối rắn ở vùng hạ sườn phải, chất lưỡi tím sẫm, mạch trầm sáp",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 121
SP061,Thể can đởm thấp nhiệt,,Viêm gan virus mạn (Hiếp thống),Can đởm thấp nhiệt,"Can, đởm","Lý, thực, nhiệt","Chẩn đoán viêm gan virus mạn dựa vào HBsAg dương tính trên 6 tháng hoặc HBsAg dương tính kèm Anti HBc IgG dương tính, men gan AST và ALT tăng từng đợt hoặc liên tục kéo dài trên 6 tháng, có bằng chứng tổn thương mô gan tiến triển hoặc xơ gan được xác định bằng sinh thiết gan hoặc đo độ đàn hồi gan hoặc Fibrotest hoặc chỉ số APRI, loại trừ các căn nguyên khác","Đau tức vùng mạng sườn phải, miệng đắng, ngực có cảm giác đầy tức, ăn kém, không muốn ăn, đôi khi có cảm giác nôn, buồn nôn, củng mạc mắt vàng, da vàng, có thể kèm theo sốt, đại tiện táo, nước tiểu vàng, chất lưỡi đỏ, rêu lưỡi vàng nhớt, mạch huyền sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 122
SP062,Thể âm hư nội nhiệt,,Viêm gan virus mạn (Hiếp thống),Bất nội ngoại nhân,Can,"Lý, hư, nhiệt.","Chẩn đoán viêm gan virus mạn dựa vào HBsAg dương tính trên 6 tháng hoặc HBsAg dương tính kèm Anti HBc IgG dương tính, men gan AST và ALT tăng từng đợt hoặc liên tục kéo dài trên 6 tháng, có bằng chứng tổn thương mô gan tiến triển hoặc xơ gan được xác định bằng sinh thiết gan hoặc đo độ đàn hồi gan hoặc Fibrotest hoặc chỉ số APRI, loại trừ các căn nguyên khác","Đau tức vùng hạ sườn phải, ăn kém, nước tiểu vàng. Mỗi khi lao lực mệt mỏi những triệu chứng này lại tăng lên. Miệng khô, họng khô, đắng miệng, đại tiện táo, chất lưỡi đỏ, rêu lưỡi hơi vàng, mạch huyền tế.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 122
SP065,Thể khí táo,,Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn),Ngoại nhân + Bất nội ngoại nhân (nội thương),Kinh và tạng Phế,"Biểu lý tương kiêm, hư trung hiệp thực, nhiệt.","Chẩn đoán COPD dựa vào tiền sử tiếp xúc với các yếu tố nguy cơ như hút thuốc lá thuốc lào ô nhiễm môi trường, triệu chứng ho khạc đờm kéo dài và khó thở tiến triển nặng dần, thăm khám lâm sàng có rì rào phế nang giảm ran rít ran ngáy ran ẩm ran nổ lồng ngực hình thùng, đo chức năng thông khí phổi là tiêu chuẩn vàng với rối loạn thông khí tắc nghẽn không hồi phục hoàn toàn sau test hồi phục phế quản, chỉ số FEV1/FVC nhỏ hơn 70% sau test hồi phục phế quản.","Ho khan, ít đờm, đôi khi ho có lẫn ít đờm, trong có tia máu, họng khô, mũi khô. Toàn thân: Phát sốt, sợ gió đau họng, đầu lưỡi đỏ, lưỡi khô, rêu lưỡi vàng, mạch hoạt sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 129
SP066,Thể đàm thấp,,Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn),Bất nội ngoại nhân (nội thương),"Tỳ, phế.","Lý, hư, hàn.","Chẩn đoán COPD dựa vào tiền sử tiếp xúc với các yếu tố nguy cơ như hút thuốc lá thuốc lào ô nhiễm môi trường, triệu chứng ho khạc đờm kéo dài và khó thở tiến triển nặng dần, thăm khám lâm sàng có rì rào phế nang giảm ran rít ran ngáy ran ẩm ran nổ lồng ngực hình thùng, đo chức năng thông khí phổi là tiêu chuẩn vàng với rối loạn thông khí tắc nghẽn không hồi phục hoàn toàn sau test hồi phục phế quản, chỉ số FEV1/FVC nhỏ hơn 70% sau test hồi phục phế quản.","Ho, khạc đờm nhiều, đờm trắng, dính loãng hoặc thành cục. Ngực bụng có cảm giác đầy tức, ăn kém, tinh thần mỏi mệt, rêu lưỡi trắng nhờn, mạch nhu hoạt.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 130
SP067,Thể thủy ẩm (hàn ẩm),"Thường hay gặp ở người bệnh viêm phế quản mạn tính kèm theo giãn phế nang ở người cao tuổi, suy giảm chức năng hô hấp rõ, bệnh tâm phế mạn.",Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn),Bất nội ngoại nhân (nội thương),"Phế, thận hư","Lý, hư, hàn.","Chẩn đoán COPD dựa vào tiền sử tiếp xúc với các yếu tố nguy cơ như hút thuốc lá thuốc lào ô nhiễm môi trường, triệu chứng ho khạc đờm kéo dài và khó thở tiến triển nặng dần, thăm khám lâm sàng có rì rào phế nang giảm ran rít ran ngáy ran ẩm ran nổ lồng ngực hình thùng, đo chức năng thông khí phổi là tiêu chuẩn vàng với rối loạn thông khí tắc nghẽn không hồi phục hoàn toàn sau test hồi phục phế quản, chỉ số FEV1/FVC nhỏ hơn 70% sau test hồi phục phế quản.","Ho kéo dài, hay tái phát, khó thở, khi trời lạnh thì ho tăng lên, khạc ra nhiều đờm loãng trắng. Khi vận động các triệu chứng trên tăng lên. Khó thở, nhiều khi nằm phải gối đầu cao.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 131
SP068,Thể phong hàn,,Màn đay (Ẩn chẳn),Ngoại nhân (phong hàn),,Biểu thực hàn,"Chẩn đoán mày đay chủ yếu dựa vào tổn thương cơ bản trên da là các sẩn phù kích thước to nhỏ khác nhau xuất hiện ở bất kỳ vùng da nào của cơ thể, sẩn phù hơi nổi cao màu đỏ hoặc nhạt hơn vùng da xung quanh, hình dạng và kích thước thay đổi nhanh xuất hiện nhanh và mất đi nhanh, phân loại mày đay cấp khi phản ứng xảy ra trong vòng 24 giờ và có thể kéo dài đến 6 tuần, mày đay mạn khi tồn tại trên 6 tuần, cận lâm sàng hỗ trợ tìm căn nguyên gồm prick test patch test với dị nguyên nghi ngờ, xét nghiệm máu có tăng bạch cầu ái toan gợi ý bệnh dị ứng hoặc ký sinh trùng, sinh thiết da trong trường hợp mày đay kéo dài để xác định viêm mao mạch, định lượng IgE đặc hiệu bằng công nghệ MAST CLA1.","Sẩn phù màu trắng, gặp gió lạnh thì nặng lên, chườm ấm thấy đỡ, không khát; lưỡi nhợt, rêu trắng mỏng. Mạch phù khẩn.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 135 - 136
SP069,Thể phong nhiệt,,Màn đay (Ẩn chẳn),Ngoại nhân (phong nhiệt),,Biểu thực nhiệt,"Chẩn đoán mày đay chủ yếu dựa vào tổn thương cơ bản trên da là các sẩn phù kích thước to nhỏ khác nhau xuất hiện ở bất kỳ vùng da nào của cơ thể, sẩn phù hơi nổi cao màu đỏ hoặc nhạt hơn vùng da xung quanh, hình dạng và kích thước thay đổi nhanh xuất hiện nhanh và mất đi nhanh, phân loại mày đay cấp khi phản ứng xảy ra trong vòng 24 giờ và có thể kéo dài đến 6 tuần, mày đay mạn khi tồn tại trên 6 tuần, cận lâm sàng hỗ trợ tìm căn nguyên gồm prick test patch test với dị nguyên nghi ngờ, xét nghiệm máu có tăng bạch cầu ái toan gợi ý bệnh dị ứng hoặc ký sinh trùng, sinh thiết da trong trường hợp mày đay kéo dài để xác định viêm mao mạch, định lượng IgE đặc hiệu bằng công nghệ MAST CLA1.","Sẩn phù màu đỏ tươi, ngứa dữ dội, có thể kèm theo người nóng, phát sốt, sợ nóng, hầu họng sưng đau, gặp nóng bệnh nặng thêm, rêu lưỡi vàng mỏng. Mạchphù sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 136 - 137
SP070,Thể huyết hư phong táo,,Màn đay (Ẩn chẳn),Bất nội ngoại nhân (nội thương),,"Biểu lý tương kiêm, hư","Chẩn đoán mày đay chủ yếu dựa vào tổn thương cơ bản trên da là các sẩn phù kích thước to nhỏ khác nhau xuất hiện ở bất kỳ vùng da nào của cơ thể, sẩn phù hơi nổi cao màu đỏ hoặc nhạt hơn vùng da xung quanh, hình dạng và kích thước thay đổi nhanh xuất hiện nhanh và mất đi nhanh, phân loại mày đay cấp khi phản ứng xảy ra trong vòng 24 giờ và có thể kéo dài đến 6 tuần, mày đay mạn khi tồn tại trên 6 tuần, cận lâm sàng hỗ trợ tìm căn nguyên gồm prick test patch test với dị nguyên nghi ngờ, xét nghiệm máu có tăng bạch cầu ái toan gợi ý bệnh dị ứng hoặc ký sinh trùng, sinh thiết da trong trường hợp mày đay kéo dài để xác định viêm mao mạch, định lượng IgE đặc hiệu bằng công nghệ MAST CLA1.","Bệnh tái đi tái lại, tổn thương có màu trắng, sau trưa hoặc về đêm thì nặng lên, kèm theo mệt mỏi, sắc mặt không tươi nhuận, lưỡi hồng nhạt, rêu trắng mỏng. Mạch tế nhược",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 137
SP071,Thể bàng quang thấp nhiệt,,Bí đái cơ năng (Long bế),Thấp nhiệt,Bàng quang thấp nhiệt,Lý thực nhiệt,"Bí đái được chẩn đoán khi trong bàng quang có nhiều nước tiểu nhưng người bệnh không đi tiểu được hoặc đi tiểu rất ít không do nguyên nhân cản trở cơ giới, bí đái cơ năng thường liên quan đến viêm nhiễm phẫu thuật vùng tiểu khung phẫu thuật vùng xương chậu khớp háng cột sống vùng hậu môn trực tràng hoặc ảnh hưởng của thuốc tê mê, triệu chứng lâm sàng gồm đau tức vùng bụng dưới vùng bàng quang vùng trước xương mu khó chịu bứt rứt muốn đi tiểu nhưng không tiểu được căng tức bàng quang, khám bụng vùng hạ vị thấy cầu bàng quang, chẩn đoán chủ yếu dựa vào thăm khám lâm sàng","Tiểu lượng ít, nhỏ giọt, nước tiểu vàng, tiểu nóng rát, hoặc không tiểu tiện được, bụng dưới đầy, miệng đắng và khô, không muốn uống nước, đại tiện khó, rêu lưỡi vàng và nhớt, chất lưỡi đỏ. Mạch sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 140 - 141
SP072,Thể phế nhiệt,,Bí đái cơ năng (Long bế),Bất nội ngoại nhân (nội thương),Phế nhiệt,Lý thực nhiệt,"Bí đái được chẩn đoán khi trong bàng quang có nhiều nước tiểu nhưng người bệnh không đi tiểu được hoặc đi tiểu rất ít không do nguyên nhân cản trở cơ giới, bí đái cơ năng thường liên quan đến viêm nhiễm phẫu thuật vùng tiểu khung phẫu thuật vùng xương chậu khớp háng cột sống vùng hậu môn trực tràng hoặc ảnh hưởng của thuốc tê mê, triệu chứng lâm sàng gồm đau tức vùng bụng dưới vùng bàng quang vùng trước xương mu khó chịu bứt rứt muốn đi tiểu nhưng không tiểu được căng tức bàng quang, khám bụng vùng hạ vị thấy cầu bàng quang, chẩn đoán chủ yếu dựa vào thăm khám lâm sàng","Tiểu tiện nhỏ giọt, không dễ dàng, tia nhỏ không thông, hoặc không tiểu tiện được. Họng khô, phiền khát, thích uống nước. Thở ngắn gấp, rêu lưỡi vàngmỏng. Mạch sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 142
SP073,Thể khí trệ huyết ứ,,Bí đái cơ năng (Long bế),"Nội nhân (cáu giận), Bất nội ngoại nhân (sau phẫu thuật)","Can, Bàng quang",Lý thực,"Bí đái được chẩn đoán khi trong bàng quang có nhiều nước tiểu nhưng người bệnh không đi tiểu được hoặc đi tiểu rất ít không do nguyên nhân cản trở cơ giới, bí đái cơ năng thường liên quan đến viêm nhiễm phẫu thuật vùng tiểu khung phẫu thuật vùng xương chậu khớp háng cột sống vùng hậu môn trực tràng hoặc ảnh hưởng của thuốc tê mê, triệu chứng lâm sàng gồm đau tức vùng bụng dưới vùng bàng quang vùng trước xương mu khó chịu bứt rứt muốn đi tiểu nhưng không tiểu được căng tức bàng quang, khám bụng vùng hạ vị thấy cầu bàng quang, chẩn đoán chủ yếu dựa vào thăm khám lâm sàng","Sau khi tình chí uất hận hoặc sau phẫu thuật, giang môn bị đau quá dẫn đến tiểu tiện đột ngột không thông hoặc thông mà không dễ dàng, bụng đầy trướng hoặc đau, dễ bị xúc động, buồn phiền, dễ cáu giận, rêu lưỡi vàng, chất lưỡi đỏ. Mạchhuyền.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 143
SP074,Thể thận khí hư,,Bí đái cơ năng (Long bế),Bất nội ngoại nhân (nội thương),"Thận, Bàng quang",Lý hư hàn,"Bí đái được chẩn đoán khi trong bàng quang có nhiều nước tiểu nhưng người bệnh không đi tiểu được hoặc đi tiểu rất ít không do nguyên nhân cản trở cơ giới, bí đái cơ năng thường liên quan đến viêm nhiễm phẫu thuật vùng tiểu khung phẫu thuật vùng xương chậu khớp háng cột sống vùng hậu môn trực tràng hoặc ảnh hưởng của thuốc tê mê, triệu chứng lâm sàng gồm đau tức vùng bụng dưới vùng bàng quang vùng trước xương mu khó chịu bứt rứt muốn đi tiểu nhưng không tiểu được căng tức bàng quang, khám bụng vùng hạ vị thấy cầu bàng quang, chẩn đoán chủ yếu dựa vào thăm khám lâm sàng","Thường gặp ở người cao tuổi, người bệnh tiểu ít, tiểu khó, kèm đau lưng mỏi gối, chân không ấm, chất lưỡi bệu, rêu lưỡi trắng. Mạch trầm nhược.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 144
SP075,"Thể nhiệt độc (tương ứng với trĩ nội độ 1, 2)",,Bệnh trĩ (Hạ trĩ),Bất nội ngoại nhân (nội thương),"Bệnh tại phủ đại trường, giang môn",Lý thực nhiệt,"Chẩn đoán bệnh trĩ dựa vào triệu chứng lâm sàng và soi hậu môn bằng ống cứng, biểu hiện lâm sàng thường gặp là đại tiện ra máu tươi và sa búi trĩ, thăm khám và soi hậu môn trực tràng có thể phát hiện trĩ nội trĩ ngoại nếp da thừa sa niêm mạc chuyển tiếp vùng lược, trĩ nội được phân độ thành bốn mức từ độ một đến độ bốn dựa trên mức độ sa búi trĩ và khả năng tự co hoặc phải đẩy lên.","Đại tiện có kèm theo máu tươi với nhiều mức độ chảy máu: thấm giấy vệ sinh, nhỏ giọt hoặc thành tia. Người nóng, hậu môn nóng, khối trĩ sa ra ít hoặc không sa, không chảy dịch, không chảy mủ. Tiểu vàng lượng ít, đại tiện táo kết, lưỡi đỏ rêu vàng. Mạch sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 147
SP076,Thể huyết ứ (tương ứng với trĩ tắc mạch),,Bệnh trĩ (Hạ trĩ),Bất nội ngoại nhân,Bệnh tại giang môn,Lý thực,"Chẩn đoán bệnh trĩ dựa vào triệu chứng lâm sàng và soi hậu môn bằng ống cứng, biểu hiện lâm sàng thường gặp là đại tiện ra máu tươi và sa búi trĩ, thăm khám và soi hậu môn trực tràng có thể phát hiện trĩ nội trĩ ngoại nếp da thừa sa niêm mạc chuyển tiếp vùng lược, trĩ nội được phân độ thành bốn mức từ độ một đến độ bốn dựa trên mức độ sa búi trĩ và khả năng tự co hoặc phải đẩy lên.","Búi trĩ sưng, chắc, đau nhức, tím sẫm màu, ấn đau, không chảy dịch, không chảy mủ. Đại tiện có máu tươi. Lưỡi tím, có điểm ứ huyết, rêu lưỡi mỏng trắng hoặc trắng nhớt. Mạch hoạt",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 148
SP077,"Thể thấp nhiệt (tương ứng với trĩ viêm, loét)",,Bệnh trĩ (Hạ trĩ),Nội nhân + Bất nội ngoại nhân,"Đại trường, giang môn",Lý thực nhiệt,"Chẩn đoán bệnh trĩ dựa vào triệu chứng lâm sàng và soi hậu môn bằng ống cứng, biểu hiện lâm sàng thường gặp là đại tiện ra máu tươi và sa búi trĩ, thăm khám và soi hậu môn trực tràng có thể phát hiện trĩ nội trĩ ngoại nếp da thừa sa niêm mạc chuyển tiếp vùng lược, trĩ nội được phân độ thành bốn mức từ độ một đến độ bốn dựa trên mức độ sa búi trĩ và khả năng tự co hoặc phải đẩy lên.","Vùng hậu môn đau, tiết nhiều dịch, trĩ sa ra ngoài khó đẩy vào, có thể có điểm hoại tử bề mặt búi trĩ, hoặc có điểm loét chảy dịch vàng hôi, đại tiện táo, lưỡi bệu nhớt, rêu vàng. Mạch hoạt sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 149
SP078,"Thể khí huyết lưỡng hư (tương ứng trĩ hỗn hợp độ IV, trĩ lâu ngày gây thiếu máu)",,Bệnh trĩ (Hạ trĩ),Bất nội ngoại nhân,"Tỳ, Vị, Can, Thận, Đại trường, giang môn",Lý hư hàn,"Chẩn đoán bệnh trĩ dựa vào triệu chứng lâm sàng và soi hậu môn bằng ống cứng, biểu hiện lâm sàng thường gặp là đại tiện ra máu tươi và sa búi trĩ, thăm khám và soi hậu môn trực tràng có thể phát hiện trĩ nội trĩ ngoại nếp da thừa sa niêm mạc chuyển tiếp vùng lược, trĩ nội được phân độ thành bốn mức từ độ một đến độ bốn dựa trên mức độ sa búi trĩ và khả năng tự co hoặc phải đẩy lên.","Đại tiện ra máu lâu ngày, hoa mắt chóng mặt, ù tai, mặt trắng nhợt, người mệt mỏi, đoản hơi. Rêu lưỡi trắng mỏng. Mạch trầm tế.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 150
SP079,Thể phong nhiệt,"Ngoại cảm phong nhiệt xâm phạm phế vệ, thường gặp trong các trường hợp cảm mạo, viêm đường hô hấp trên do phong nhiệt.",Cảm mạo (Ngoại cảm phong nhiệt),Ngoại nhân (phong nhiệt),"Phế, Vệ khí","Biểu, thực, nhiệt","Viêm đường hô hấp trên do virus hoặc vi khuẩn: viêm họng cấp, viêm amidan cấp, cảm cúm. Xét nghiệm có thể thấy bạch cầu tăng nhẹ, CRP tăng.","Sốt, sợ gió, đau đầu, ho, đau rát họng, họng đỏ sưng, đờm đặc hoặc vàng, nước mũi đặc vàng, khát nước, thích uống nước mát, người nóng hâm hấp, ra ít mồ hôi, tiểu vàng, rìa lưỡi đỏ, rêu lưỡi mỏng vàng. Mạch phù sác.",Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh / Hướng dẫn chẩn đoán BYT
